"Timestamp","Give you confidence levels of the following statements below: [I am comfortable using the documentation of my HPC center]","Give you confidence levels of the following statements below: [I am comfortable using a Python book]","Give you confidence levels of the following statements below: [I am comfortable learning Python]","Give you confidence levels of the following statements below: [I can load a Python version on my HPC cluster]","Give you confidence levels of the following statements below: [I can describe what the Python interpreter is]","Give you confidence levels of the following statements below: [I can use a text editor on my HPC cluster]","Give you confidence levels of the following statements below: [I can create a Python script]","Give you confidence levels of the following statements below: [I can run a Python script]","Give you confidence levels of the following statements below: [I can run a Python script that uses a graphical library on an HPC cluster]","Give you confidence levels of the following statements below: [I can create and use a variable in Python]","Give you confidence levels of the following statements below: [I can convert a simple equation to Python code]","Give you confidence levels of the following statements below: [I can convert a simple text question to Python code]","Give you confidence levels of the following statements below: [I can read and write to/from a file in Python]","Any other feedback?"
"2026/03/03 11:34:20 am CET","3","5","5","4","4","5","5","5","1","5","5","5","5",""
"2026/03/03 2:01:17 pm CET","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2026/03/03 2:32:56 pm CET","2","2","5","5","3","5","2","5","4","2","3","3","3",""
"2026/03/03 2:59:46 pm CET","4","4","5","5","5","5","5","5","4","5","5","5","4","Maybe the course can also include some practices on how to load additional packages necessary to run advanced python codes in the HPC environment. The current practices have touched upon this issue a little but no systematic introduction."
"2026/03/03 3:20:02 pm CET","4","5","5","3","5","4","5","5","4","5","5","5","5",""
"2026/03/03 3:54:16 pm CET","4","5","4","5","5","5","5","5","5","5","5","5","5",""
"2026/03/03 3:54:41 pm CET","3","5","5","4","5","5","5","5","4","5","5","5","4","Great course, especially the HPC intro. A great way to lower the threshold of using HCP clusters. "
"2026/03/03 3:57:16 pm CET","4","5","4","4","4","5","5","5","4","4","4","4","4","Great course! It was exactly the right amount of content. I liked that the teacher asked questions to everybody and that he also made sure you could feel comfortable with saying ""I don't know"". Normally I would feel more scared of getting hit with questions at random times. But it kept me on my toes so I didn't start doing something else on my computer while the teacher was talking. "
"2026/03/03 3:58:27 pm CET","5","4","3","5","4","5","3","5","3","5","4","3","3","This course, taught by Richèl Bilderbeek, was a great intro for using python on HPC. It made it easier to understand and more approachable for future learning. Very enjoyable course, enough attention was given to gaining understanding and answering questions! "
"2026/03/03 4:06:43 pm CET","3","4","4","4","4","5","3","5","2","5","4","4","1","Documentation on PDC (Dardel) was not very helpful, sometimes even misleading that took extra time to solve the problem. Some statements above got lower score because it was a bit slow for me to go through the respective topics, or I did not reach the respective topic at all (e.g. reading/writing to/from file). I plan to go through the moments by my own later on. Otherwise the course is very useful, and Richel is a great teacher who puts a lot of efforts to improve it and to explain the topics to us learners. Thanks!"
"2026/03/03 4:36:10 pm CET","5","4","5","5","5","5","5","5","5","5","5","5","5","I appreciate how well organized the course was, both in terms of content and in terms of schedule. Great teaching, it was particularly accommodating of different technical and personal needs/learning styles!"